date,open,high,low,close,volume,symbol,type
2013-12-27,763.28,777.51,713.6,735.07,46862700.0,BTC,Actual
2013-12-28,737.98,747.06,705.35,727.83,32505800.0,BTC,Actual
2013-12-29,728.05,748.61,714.44,745.05,19011300.0,BTC,Actual
2013-12-30,741.35,766.6,740.24,756.13,20707700.0,BTC,Actual
2013-12-31,760.32,760.58,738.17,754.01,20897300.0,BTC,Actual
2014-01-01,754.97,775.35,754.97,771.4,22489400.0,BTC,Actual
2014-01-02,773.44,820.31,767.21,802.39,38489500.0,BTC,Actual
2014-01-03,802.85,834.15,789.12,818.72,37810100.0,BTC,Actual
2014-01-04,823.27,859.51,801.67,859.51,38005000.0,BTC,Actual
2014-01-05,858.55,952.4,854.52,933.53,72898496.0,BTC,Actual
2014-01-06,936.05,1017.12,905.71,953.29,85565696.0,BTC,Actual
2014-01-07,946.49,965.74,802.0,802.0,81311696.0,BTC,Actual
2014-01-08,795.99,870.68,776.18,842.72,74175600.0,BTC,Actual
2014-01-09,841.47,864.36,804.14,846.86,59998600.0,BTC,Actual
2014-01-10,846.69,871.19,822.6,868.48,31876800.0,BTC,Actual
2014-01-11,867.32,921.48,861.72,913.95,44754200.0,BTC,Actual
2014-01-12,919.6,928.52,851.17,863.22,39623500.0,BTC,Actual
2014-01-13,860.19,861.29,806.05,841.2,45580900.0,BTC,Actual
2014-01-14,843.17,855.69,825.66,833.27,20829800.0,BTC,Actual
2014-01-15,833.12,872.81,830.86,860.9,28107200.0,BTC,Actual
2014-01-16,860.29,866.16,835.63,835.63,19149300.0,BTC,Actual
2014-01-17,834.49,842.91,797.63,814.64,39031700.0,BTC,Actual
2014-01-18,816.07,841.49,816.07,840.0,18052700.0,BTC,Actual
2014-01-19,839.66,870.96,825.53,870.96,24365700.0,BTC,Actual
2014-01-20,871.39,886.39,853.87,870.2,27652700.0,BTC,Actual
2014-01-21,869.65,881.2,855.93,863.91,18997300.0,BTC,Actual
2014-01-22,867.21,870.15,837.36,845.59,18453700.0,BTC,Actual
2014-01-23,845.46,851.57,819.32,822.04,15607100.0,BTC,Actual
2014-01-24,822.43,822.43,783.58,797.07,34912000.0,BTC,Actual
2014-01-25,796.24,861.45,792.96,853.61,24303900.0,BTC,Actual
2014-01-26,853.68,897.02,844.86,885.28,32224300.0,BTC,Actual
2014-01-27,884.6,893.0,757.11,771.39,49233600.0,BTC,Actual
2014-01-28,774.02,832.5,766.98,812.51,44875500.0,BTC,Actual
2014-01-29,809.96,836.87,809.85,826.0,17984400.0,BTC,Actual
2014-01-30,826.02,830.5,799.06,819.03,29918200.0,BTC,Actual
2014-01-31,818.43,831.87,812.6,829.92,17107900.0,BTC,Actual
2014-02-01,828.61,853.52,827.11,832.58,19668700.0,BTC,Actual
2014-02-02,832.9,844.72,820.67,825.37,11300900.0,BTC,Actual
2014-02-03,824.08,826.48,807.22,823.83,13940100.0,BTC,Actual
2014-02-04,823.77,840.17,820.94,827.96,16609700.0,BTC,Actual
2014-02-05,829.96,837.32,811.91,811.91,22395100.0,BTC,Actual
2014-02-06,815.59,819.81,770.59,781.55,50108700.0,BTC,Actual
2014-02-07,783.2,783.2,654.35,712.4,113643000.0,BTC,Actual
2014-02-08,699.57,721.82,661.87,673.92,38742600.0,BTC,Actual
2014-02-09,671.46,712.27,655.25,682.9,39311400.0,BTC,Actual
2014-02-10,681.32,703.71,550.5,681.03,112758000.0,BTC,Actual
2014-02-11,683.5,712.46,636.66,672.17,72745200.0,BTC,Actual
2014-02-12,672.38,672.9,643.04,651.72,25367600.0,BTC,Actual
2014-02-13,651.08,657.99,601.91,605.24,38588100.0,BTC,Actual
2014-02-14,601.17,691.72,541.04,661.99,102506000.0,BTC,Actual
2014-02-15,660.9,661.84,632.84,650.92,26709200.0,BTC,Actual
2014-02-16,651.3,665.1,584.17,616.63,40061700.0,BTC,Actual
2014-02-17,614.23,656.95,607.31,626.27,31948400.0,BTC,Actual
2014-02-18,627.16,645.76,612.54,626.6,20015100.0,BTC,Actual
2014-02-19,625.97,631.77,618.7,623.03,13897800.0,BTC,Actual
2014-02-20,623.09,627.73,556.14,556.14,46905000.0,BTC,Actual
2014-02-21,556.88,582.96,530.47,574.16,47308100.0,BTC,Actual
2014-02-22,574.24,614.48,558.58,605.42,31254000.0,BTC,Actual
2014-02-23,606.47,639.91,599.7,605.82,31434400.0,BTC,Actual
2014-02-24,606.04,607.61,538.7,546.32,57893900.0,BTC,Actual
2014-02-25,540.24,541.38,420.41,538.71,126314000.0,BTC,Actual
2014-02-26,537.04,603.8,532.58,582.69,64642700.0,BTC,Actual
2014-02-27,581.65,594.05,566.62,578.77,25540800.0,BTC,Actual
2014-02-28,579.7,584.14,545.17,549.26,28076100.0,BTC,Actual
2014-03-01,549.92,573.38,539.29,565.61,18668100.0,BTC,Actual
2014-03-02,567.23,570.48,553.27,559.79,7950760.0,BTC,Actual
2014-03-03,562.56,702.91,560.52,667.76,96056896.0,BTC,Actual
2014-03-04,668.24,696.22,655.68,666.78,55344600.0,BTC,Actual
2014-03-05,666.24,674.28,646.28,665.51,22461900.0,BTC,Actual
2014-03-06,664.52,669.77,649.79,663.86,16068100.0,BTC,Actual
2014-03-07,664.31,665.34,616.35,629.15,34150800.0,BTC,Actual
2014-03-08,629.66,635.14,604.46,617.45,18654200.0,BTC,Actual
2014-03-09,616.31,643.95,612.35,636.96,15396500.0,BTC,Actual
2014-03-10,636.33,644.76,615.02,627.79,20639800.0,BTC,Actual
2014-03-11,627.95,638.42,618.84,634.11,11732500.0,BTC,Actual
2014-03-12,631.91,648.03,629.51,632.1,18621200.0,BTC,Actual
2014-03-13,633.62,644.2,630.85,638.14,11634900.0,BTC,Actual
2014-03-14,638.14,639.53,627.21,628.8,11913800.0,BTC,Actual
2014-03-15,629.37,639.14,627.3,636.12,4342080.0,BTC,Actual
2014-03-16,636.5,637.52,628.11,631.11,5277290.0,BTC,Actual
2014-03-17,630.92,632.68,616.85,622.37,14648200.0,BTC,Actual
2014-03-18,621.84,622.39,603.8,614.83,24011500.0,BTC,Actual
2014-03-19,613.9,622.0,609.1,609.89,14228900.0,BTC,Actual
2014-03-20,609.74,609.74,587.49,588.77,20572900.0,BTC,Actual
2014-03-21,588.29,604.59,561.81,571.49,38414100.0,BTC,Actual
2014-03-22,571.18,572.55,554.39,565.04,17360700.0,BTC,Actual
2014-03-23,565.76,570.24,560.88,561.27,9288400.0,BTC,Actual
